intensity0	intensity5	intensity6	intensity7
4.8	8	8.8	6.4
4.8	6.8	7.6	7.2
4.8	6	6.8	8.4
4.8	5.6	6	9.2
4.8	5.6	6	9.2
4.8	5.6	6	8.4
4.8	5.6	6	8
4.8	6	6.8	7.6
4.8	7.2	8	7.6
4.8	8.4	9.6	7.2
5.2	9.6	10	7.6
5.6	9.6	9.6	8.4
7.2	9.2	8.8	9.2
9.6	8.4	8.4	9.6
11.6	8	8	9.2
11.6	8	7.6	8
10	8.4	7.6	7.2
8	9.2	8.4	6.4
6.8	10	9.6	6
6	10	10.4	6
5.2	9.2	10	6
4.8	7.6	8.8	6.8
4.8	6.8	7.6	8.4
4.8	6	6.8	9.6
4.8	5.6	6.4	10
4.8	5.6	6	9.2
4.8	5.6	6	8.4
4.8	5.6	6	8
4.8	6	7.2	8
4.8	7.2	8.4	7.6
4.8	8.8	10	7.6
5.2	10	10.8	8
5.6	10.4	10	8.8
7.2	9.6	9.2	10
9.6	8.8	8.4	10.4
12	8.4	8.4	9.6
12.8	8	8	8.4
11.6	8	8	7.2
9.6	8.8	8.4	6.8
8	10	9.6	6.4
6.8	10.8	10.8	6.4
6	10	10.8	6.8
5.2	8.8	10	7.6
4.8	7.6	8.8	8.8
4.8	6.8	7.6	10.4
4.8	6	6.8	10.8
4.8	6	6.4	10
4.8	5.6	6	8.8
4.8	5.6	6	8.4
4.8	6	6.4	8
4.8	6.4	7.6	8
4.8	7.6	9.2	8
5.2	9.6	10.8	8
5.6	10.8	11.6	8.8
6.4	11.2	10.8	10.4
8	10.4	9.6	11.2
10.4	9.6	9.2	10.8
12.8	9.2	8.8	9.6
15.2	8.4	8.4	7.2
13.2	8.4	8	6.4
10.4	8.8	8.4	6
8.4	10	9.6	6
7.2	11.2	11.2	6
6	11.2	11.6	6.8
5.2	9.6	10.8	8
4.8	8.4	9.2	9.6
4.8	7.2	8	11.2
4.8	6.4	7.2	11.6
4.8	6	6.4	10.4
4.8	5.6	6	9.2
4.8	5.6	6	8.8
4.8	6	6.4	8.4
4.8	6.4	7.2	8.4
4.8	7.2	8.4	8
5.2	8.8	10.4	8
5.2	10.8	12	8.8
5.6	11.6	12	10.4
6.4	11.6	10.8	11.6
8.4	10.4	9.6	11.6
11.2	9.6	9.2	10.4
14	9.2	8.8	8.8
14.8	8.8	8.4	7.6
13.6	8.8	8.4	6.8
10.8	9.6	8.8	6.4
8.4	10.8	10	6.4
7.2	12	11.6	6.8
6.4	12	12.8	7.6
5.6	10.4	12.4	9.2
5.2	8.8	10.8	11.2
4.8	7.6	8.8	12.8
4.8	6.8	8	12.4
4.8	6.4	7.2	10.8
4.8	6	6.8	9.6
4.8	6	6.4	8.8
4.8	6	6.8	8.8
4.8	6	7.2	8.4
4.8	6.8	8.4	8.4
4.8	8	10	8.4
5.2	10.4	12.4	9.6
5.6	12.4	13.6	11.2
6.4	13.2	12.8	12.8
7.6	12.4	11.2	13.2
9.6	10.8	10	12
12.4	10	9.6	10
15.2	9.6	9.2	8.4
16.4	9.2	8.8	7.2
14.4	9.2	8.8	6.8
11.6	10.4	9.6	6.4
9.2	12	10.8	6.8
7.6	13.2	12.8	7.6
6.4	13.2	14	8.8
5.6	11.6	13.2	10.8
5.2	10	11.6	12.8
4.8	8	9.6	13.6
4.8	7.2	8.4	12.4
4.8	6.4	7.6	10.8
4.8	6	6.8	9.6
4.8	6	6.4	9.2
4.8	6	6.8	9.2
4.8	6	7.2	8.8
4.8	6.8	8	8.8
5.2	8	9.6	8.8
5.6	10.4	12.8	10.4
5.6	12	14.4	12
6	13.6	14.8	13.6
6.8	14	13.6	14
8.4	12.8	12	12.8
11.2	11.6	10.8	10.8
14.4	10.8	10.4	9.2
17.2	10.4	10	8
17.6	10	9.6	7.6
15.6	10	9.6	7.2
12.4	10.8	10.4	7.2
9.6	12.4	11.6	7.6
8	14	13.6	8.4
6.8	14	14.8	10.4
6	12.8	14.4	12.8
5.6	10.8	12.8	14.4
5.2	8.8	10.8	14.4
5.2	7.6	9.2	12.8
4.8	6.8	8	11.2
4.8	6.4	7.6	10
4.8	6.4	7.2	9.6
4.8	6.4	7.2	9.6
4.8	6.4	7.6	9.2
4.8	6.8	8	9.2
5.2	7.6	9.6	9.6
5.2	9.2	11.2	10.4
5.6	10.8	13.2	12.4
5.6	11.6	14	13.6
5.6	12	13.6	13.6
6	12	12.4	12.4
6.8	11.2	10.8	10.4
8.8	10	9.6	8.8
11.6	9.6	9.2	7.6
15.2	9.6	9.6	6.8
17.2	10	10	6.8
16	10.4	10	6.8
13.2	11.2	10.8	7.2
10.4	12.8	12	8
8.4	14.8	14	9.6
7.2	15.6	15.6	12
6.4	14.8	16.4	14.8
6	12.8	15.2	16
5.6	10.4	12.8	15.6
5.2	8.8	10.4	13.6
5.2	8	8.8	12
5.2	7.6	8	10.8
4.8	7.2	7.6	10.4
5.2	7.2	7.6	10
5.2	7.2	7.6	10
5.2	7.2	7.6	9.6
5.2	7.6	8.4	10
5.2	8.4	10	10.8
5.6	10	12	12.8
5.6	12	14.8	15.2
6	14.8	16.8	16.8
6.8	16.4	17.2	16.4
8	16.8	16	14.4
9.6	15.6	14	12
12.4	14	12.4	10
15.6	12.8	11.6	8.8
19.2	12	11.2	8
20.8	11.6	11.2	7.6
20	11.6	11.2	7.6
16.8	12	11.2	8
12	13.6	12	9.6
9.6	15.2	13.6	11.2
8	16.8	16	13.6
6.8	17.2	18	16
6	16	18.4	17.6
5.6	13.6	16.4	17.2
5.6	11.2	14	15.6
5.2	9.2	11.2	13.2
5.2	8	9.6	12
5.2	7.6	8.8	11.2
5.2	7.2	8.4	10.8
5.2	7.2	8	10.4
5.2	7.2	8	10.4
5.2	7.2	8.4	10.8
5.2	7.6	9.2	11.2
5.2	8.4	10.4	12.8
5.6	9.6	12.4	15.2
5.6	12	15.2	17.6
6	14.8	18	18.8
6.4	17.2	19.6	18
7.2	18.8	19.2	15.6
8.4	18.4	17.2	12.8
10.4	16.8	14.8	10.8
13.6	14.8	13.2	9.2
17.6	13.6	12.4	8.4
21.2	12.8	12	8
23.2	12.4	12	8.4
22.4	12	12	8.8
19.2	12.8	12	9.6
15.2	14	12.8	11.2
12	16	14.4	13.6
9.6	18	16.8	16.4
8.4	19.2	19.2	18.8
7.2	18.8	20	20
6.4	16.8	19.2	18.8
6	14	17.2	16.4
5.6	11.6	14.4	14
5.6	10	12	12.8
5.6	8.8	10.4	12
5.6	8	9.2	11.6
5.6	7.6	8.8	11.6
5.6	7.6	8.4	11.2
5.6	7.6	8.4	11.6
5.6	8	8.8	12
5.6	8.4	9.6	13.6
