intensity1	intensity2	intensity3	intensity4
6.8	5.6	8.4	4.8
6	6	8.8	4.8
5.6	6.8	9.6	4.8
5.6	8	10.8	4.8
5.6	8.8	12.8	5.2
6	9.6	14	5.2
6.8	11.2	14.8	5.6
8	12.8	14.8	6.4
8.8	14.4	14.4	8.4
9.6	14.8	13.6	11.2
11.2	14.8	12.8	14
12.8	14	12	14.8
14.4	13.2	11.2	13.6
15.2	12.8	10	10.8
15.2	12	8.8	8.4
14.4	10.8	7.6	7.2
13.6	9.6	6.8	6.4
12.8	8.8	6.4	5.6
12	8	6	5.2
11.2	7.2	6	4.8
10	6.4	6.4	4.8
8.8	6	6.8	4.8
8	6	8	4.8
7.2	6	9.2	4.8
6.4	6.4	10.4	4.8
6	7.6	11.2	4.8
6	8.8	12.8	4.8
6	9.6	14.4	4.8
6.4	10.8	15.6	5.2
7.2	12	16	5.6
8.8	14	15.6	6.4
9.6	15.2	14.8	7.6
10.8	16	14	9.6
12.4	15.6	13.2	12.4
14.4	14.8	12.4	15.2
16	14	11.6	16.4
16.4	13.2	10.8	14.4
16	12	9.6	11.6
15.2	11.2	8.8	9.2
14.4	10.4	7.6	7.6
13.2	9.6	7.2	6.4
12	8.8	6.8	5.6
11.2	8	6.4	5.2
10.4	7.2	6.4	4.8
10	6.8	6.8	4.8
9.2	6.4	8	4.8
8.4	6.4	9.6	4.8
7.6	6.8	10.8	4.8
7.2	7.6	11.6	4.8
6.8	8.8	12.8	4.8
6.4	10.4	14.4	4.8
6.4	11.2	16.4	5.2
7.2	12.8	18	5.6
8.4	14.4	17.6	5.6
10	16.4	16.8	6
11.2	17.2	15.6	6.8
12.4	17.2	14.8	8.4
14	16.4	13.6	11.2
16	15.6	12.4	14.4
17.2	14.4	11.2	17.2
17.6	13.6	10.4	17.6
16.8	12.4	9.6	15.6
16	11.2	9.2	12.4
14.8	10.4	8.4	9.6
14	9.6	8	8
12.8	8.8	7.2	6.8
11.6	8.4	6.8	6
10.8	7.6	6.8	5.6
10	7.2	7.2	5.2
9.2	6.8	7.6	5.2
