intensity0	intensity30	intensity60	intensity90
3.6	4	4	4
3.6	3.6	4	4
3.6	3.6	4	4
3.6	3.6	4	4
3.2	3.6	4	3.6
3.6	3.6	4	3.6
4	4	4.4	3.6
4.4	4.4	4.8	4
4.8	4.8	4.8	4.4
4.8	5.2	4.8	4.4
4.4	4.8	4.4	4.4
4	4	4	4
3.6	3.6	3.6	3.6
3.2	3.6	3.6	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.6	3.6	3.6	3.2
4	4	4	3.6
4.4	4.4	4.8	4.4
4.8	4.8	5.2	4.8
5.2	5.2	5.2	5.2
4.8	4.8	4.8	4.8
4.4	4.4	4.4	4.4
4	4	4	4
3.6	3.6	4	4
3.6	3.6	4	4
3.6	3.6	4	4
3.6	3.6	4	4
3.6	3.6	4	4
4	4	4	4.4
5.2	5.2	5.2	4.8
5.6	5.2	5.2	4.8
5.6	5.6	5.2	4.8
5.2	5.2	4.8	4.4
4.4	4.4	4.4	4
3.6	3.6	4	3.6
3.2	3.6	3.6	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.6	3.6	3.6	3.6
4	4	4	4
4.8	4.8	4.8	4.8
5.2	5.2	5.2	5.2
4.8	5.2	5.2	5.2
4.4	4.8	4.8	4.8
4	4.4	4.4	4.4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
4	4.4	4.4	4.4
4.8	4.8	4.8	4.8
5.6	5.6	5.2	5.2
5.6	5.6	5.2	5.2
5.2	5.2	4.8	4.8
4.4	4.4	4.4	4
3.6	4	4	3.6
3.2	3.6	3.6	3.2
2.8	3.2	3.2	2.8
2.8	3.2	3.2	2.8
2.8	3.2	3.2	2.8
3.2	3.2	3.2	3.2
3.6	3.6	3.6	3.6
4	4	4	4
4.8	4.8	4.8	4.8
5.6	5.6	5.6	5.6
6	6	6	6
5.6	5.6	6	6
4.8	5.2	5.2	5.2
4.4	4.8	4.8	4.8
4	4.4	4.4	4.4
4	4.4	4.4	4
4	4	4.4	4
4	4	4	4
4	4	4	4
4	4	4.4	4
4.4	4.4	4.8	4.4
4.8	4.8	5.2	4.8
5.6	5.6	5.6	5.2
6	6	6	5.6
6	6	6	5.6
5.2	5.6	5.2	5.2
4.4	4.8	4.4	4.4
4	4	4	4
3.6	3.6	3.6	3.6
3.2	3.6	3.2	3.6
3.2	3.6	3.2	3.6
3.2	3.6	3.2	3.6
3.6	3.6	3.6	3.6
3.6	3.6	4	4
4.4	4.8	5.2	4.8
5.2	5.2	5.6	5.2
5.6	5.6	6.4	6
6	6.4	6.8	6.4
6	6.4	6.4	6.4
5.2	5.6	5.6	5.6
4.4	5.2	5.2	5.2
4	4.4	4.8	4.8
4	4.4	4.4	4.4
4	4	4	4.4
4	4.4	4.4	4.4
4	4	4.4	4
4	4.4	4.4	4.4
4.4	4.4	4.4	4.4
4.8	4.8	4.8	4.8
5.6	5.6	5.6	5.2
6.4	6.4	6.4	5.6
6.8	6.8	6.8	6
6.4	6.4	6.4	6
5.6	5.6	5.6	5.6
4.8	4.8	4.8	4.8
4	4.4	4	4
3.6	4	3.6	3.6
3.6	3.6	3.6	3.2
3.2	3.6	3.6	3.2
3.2	3.6	3.6	3.2
3.2	3.6	3.6	3.6
3.6	4	4	4
4	4.4	4.4	4.4
4.8	4.8	5.2	4.8
5.6	6	6	6
6.4	6.8	6.8	6.8
6.8	7.2	7.2	7.2
6.4	6.8	6.8	6.8
5.6	6	6	6
4.8	5.2	5.2	5.2
4.4	4.8	4.8	4.8
4	4.8	4.8	4.8
4.4	4.8	4.8	4.8
4.4	4.8	4.8	4.8
4.4	4.8	4.8	4.8
4.4	4.8	4.8	4.8
4.4	4.8	4.8	4.8
4.8	5.2	5.2	5.2
5.6	5.6	5.6	5.6
6.4	6.4	6.4	6.4
7.2	7.2	7.2	6.8
7.2	7.2	7.2	6.8
6.8	6.8	6.8	6.4
6	6	6	5.6
5.2	5.2	5.2	4.8
4.4	4.4	4.4	4
4	4	4	3.6
3.6	3.6	4	3.6
3.6	3.6	4	3.6
3.6	3.6	4	3.6
3.6	4	4	3.6
4	4	4.4	4
4.4	4.4	4.8	4.4
4.8	5.2	5.2	5.2
6	6	6	6
6.8	6.8	7.2	6.8
7.2	7.6	7.6	7.6
7.2	7.6	7.6	7.6
6.8	7.2	6.8	7.6
6	6	6	6.8
5.2	5.2	5.6	6
4.8	4.8	5.2	5.2
4.8	4.8	4.8	5.2
4.8	4.8	4.8	4.8
4.8	4.8	4.8	4.8
4.8	4.8	4.8	4.8
4.8	4.8	4.8	4.8
4.8	4.8	4.8	4.8
5.2	5.2	5.2	5.2
5.6	5.6	5.6	5.6
6.4	6.4	6.4	6.4
7.2	7.2	7.2	7.2
8	7.6	7.6	7.6
8	7.6	7.6	7.6
7.2	6.8	6.8	6.8
6	6	6	6
5.2	5.2	5.2	5.2
4.4	4.8	4.4	4.4
4	4.4	4	4
4	4	4	4
4	4	4	4
4	4	4	4
4	4	4	4
4	4.4	4.4	4.4
4.4	4.4	4.8	4.8
4.8	4.8	5.2	5.2
6	6	6	6
6.8	6.8	7.2	7.2
7.6	8	8	8
8	8.4	8.4	8.4
8	8.4	8.4	8.4
7.2	7.6	7.6	8
6.4	6.8	6.8	7.2
5.6	6	6	6.4
5.2	5.2	5.6	6
4.8	4.8	5.6	5.6
4.8	4.8	5.2	5.2
4.8	4.8	4.8	5.2
4.8	4.8	4.8	5.2
4.8	4.8	4.8	4.8
4.8	4.8	4.8	5.2
5.2	5.2	5.2	5.2
5.6	5.6	5.6	5.6
6.4	6.4	6.4	6.4
7.2	7.6	7.6	7.2
8	8.4	8.4	7.6
8.8	9.2	8.8	8.4
8.8	8.8	8.8	8.4
8.4	8.4	8	8
7.2	7.2	6.8	7.2
6	6	6	6.4
5.2	5.2	5.2	5.6
4.8	4.8	4.8	4.8
4.4	4.4	4.4	4.4
4.4	4.4	4	4
4	4	4	4
4	4	4.4	4.4
4	4	4.4	4.4
4.4	4.4	4.4	4.8
4.8	4.8	4.8	5.2
5.2	5.2	5.6	5.6
6	5.6	6.4	6.4
7.2	7.2	7.6	8
8	8	8.4	8.8
9.2	8.8	9.2	9.6
9.6	9.2	9.6	10
9.2	9.2	9.2	9.6
8	8.4	8.4	8.8
7.2	7.6	7.6	8
6.4	6.8	6.8	7.2
6	6	6	6.4
5.6	5.6	5.6	6
5.2	5.6	5.6	5.6
4.8	5.6	5.6	5.6
5.2	5.6	5.6	5.6
5.2	5.6	5.6	5.6
5.2	5.6	5.6	5.6
5.2	5.6	5.6	5.6
5.6	5.6	6	6
6	6	6	6.4
6.8	6.8	6.8	7.2
7.6	7.6	7.6	8
8.8	8.8	8.8	8.8
9.6	10	9.6	9.6
10	10.4	10	10
9.6	10	10	9.6
8.8	9.2	9.2	8.8
7.6	8	8	7.6
6.8	6.8	6.8	6.4
6	6	6	5.6
5.2	5.2	5.2	5.2
4.8	4.8	4.8	4.8
4.8	4.8	4.8	4.8
4.4	4.8	4.8	4.4
4.4	4.8	4.8	4.4
4.4	4.8	4.8	4.4
4.4	4.8	4.8	4.8
4.8	4.8	4.8	5.2
5.2	5.2	5.2	5.6
5.6	5.6	5.6	6.4
6.4	6.4	6.8	7.2
7.6	7.2	8	8
8.8	8.8	9.2	9.2
10	10	10.4	10
10.8	10.8	11.2	10.8
10.8	11.2	11.2	11.2
10.4	10.8	10.8	10.8
9.2	9.6	9.6	9.6
8	8.4	8.8	8.8
7.2	7.2	7.6	8
6.4	6.8	6.8	7.2
6	6.4	6.4	6.8
6	6	6.4	6.4
6	5.6	6	6.4
6	5.6	6	6.4
5.6	5.6	6	6.4
5.6	5.6	6	6
5.6	5.6	5.6	6
5.6	5.6	5.6	6
6	6	6	6
6.4	6.4	6.4	6.4
7.2	7.2	7.2	7.2
8	8	8	8
9.2	9.2	9.2	9.2
10.4	10.4	10.4	10.4
11.2	11.2	11.2	10.8
12.4	12.8	12	11.6
11.6	12	11.6	11.2
10.4	10.8	10.4	10.4
9.2	9.6	9.2	9.2
7.6	8.4	8	8
6.8	7.2	7.2	7.2
6	6.4	6.4	6.4
5.6	6	5.6	5.6
5.2	5.6	5.2	5.2
4.8	5.2	4.8	5.2
4.8	5.2	4.8	4.8
4.8	4.8	4.8	4.8
4.8	4.8	4.8	5.2
