intensitywo	intensityw	intensity0	intensity30	intensity60	intensity90	intensityn30	intensityn60	intensityn90
5.6	2.4	3.2	3.2	3.2	2.8	3.2	2.8	2.8
4.8	2.4	3.2	3.2	3.2	2.8	3.2	2.8	2.8
4.8	2.4	3.2	3.2	3.2	2.8	3.2	2.8	2.8
4.4	2.4	3.2	3.2	3.2	2.8	3.2	2.8	2.4
4.4	2.4	3.6	3.6	3.2	3.2	3.6	2.8	2.4
4.8	2.4	4	4	3.6	3.2	4	3.2	2.4
5.2	2.8	4.4	4.4	4	3.6	4.4	3.6	2.8
6	3.2	4.4	4.4	4.4	4	4.4	4	3.2
6.8	3.6	4.4	4.4	4.4	4.4	4.4	4.4	4
7.2	3.6	4	4.4	4.8	4.8	4.4	4.4	4
7.6	4	4	4.4	5.2	5.2	4.4	4.8	4.4
8.4	4.4	4	4.4	5.6	5.6	4.4	5.6	4.8
9.6	4.8	4	4.4	5.6	6	4.4	6	5.6
11.2	4.4	4	4.4	5.2	6	4.4	6	6
12.4	4	4.4	4.4	4.8	5.6	4.4	6	6
12.8	3.6	4.8	4.4	4.8	5.2	4.4	5.2	6
12.4	3.2	4.8	4.4	4.4	4.4	4.4	4.8	5.6
10.8	2.8	4.8	4.4	4	4	4.4	4.4	4.8
9.2	2.8	4.4	4	3.6	3.6	4	4	4.4
8	2.4	4	4	3.2	3.2	3.6	3.6	4
6.8	2.4	3.6	4	3.2	3.2	3.2	3.6	3.6
6	2.4	3.6	3.6	3.2	3.2	3.2	3.2	3.2
5.6	2.4	3.6	3.6	3.2	3.2	3.2	3.2	3.2
5.2	2.4	3.6	3.6	3.2	3.2	3.2	3.2	3.2
5.2	2.4	4	3.6	3.6	3.2	3.6	3.2	3.2
5.2	2.4	4.4	4	4	3.2	4	3.2	3.2
5.2	2.8	4.8	4.4	4.4	3.6	4.4	3.6	3.2
5.6	3.2	4.8	4.4	4.4	4	4.8	4	3.6
6.4	3.6	4.8	4.8	4.4	4.4	4.8	4.4	4
7.6	3.6	4.8	4.8	4.8	4.8	4.8	4.8	4
8	4	4.4	4.8	5.2	5.6	4.8	5.2	4.4
8.4	4.4	4.4	4.8	5.6	6.4	4.8	5.6	4.8
10	4.8	4.4	4.8	6	6.8	5.2	6	5.6
11.2	4.8	4.4	4.8	6	6.4	5.2	6	6
12	4.8	4.4	4.8	5.6	6.4	4.8	6	6.4
12.8	4.8	4.8	4.8	5.6	6	4.8	6	6.4
13.6	4.4	4.8	4.8	5.2	5.6	4.8	5.6	6.4
13.2	3.6	4.8	4.8	4.8	4.8	4.8	5.2	6
12.4	3.2	4.8	4.8	4.4	4.4	4.8	4.8	5.2
10.8	2.8	4.8	4.4	4	4	4.4	4.4	4.4
9.2	2.8	4.8	4	4	4	4	4	4
8	2.8	4.4	4	4	3.6	3.6	4	4
6.8	2.8	4	4	4	3.6	3.6	4	3.6
6	2.8	4	4	3.6	3.2	3.6	4	3.2
5.6	2.8	4	4	3.6	3.2	3.6	4	3.2
5.2	2.8	4.4	4	3.6	3.2	4	3.6	3.2
5.2	2.8	4.8	4.4	4	3.6	4.4	3.6	3.2
5.2	2.8	4.8	4.8	4.4	4	4.4	4	3.2
5.6	3.2	4.8	4.8	4.8	4.4	4.8	4.4	3.6
6.4	3.6	4.8	4.8	4.8	4.4	4.8	4.8	4
7.6	4	4.8	4.8	5.2	4.8	4.8	5.2	4.4
8.4	4.4	4.8	4.8	5.6	5.6	4.8	5.6	4.8
9.2	4.8	4.8	4.8	6.4	6.4	5.2	6	5.2
10.4	4.8	4.8	4.8	6.8	7.2	5.6	6.4	5.6
12	5.2	4.8	4.8	6.4	7.2	5.6	6.8	6.4
13.2	5.2	4.8	4.8	6	6.8	5.6	6.8	6.8
14	5.2	5.2	4.8	5.6	6.4	5.6	6.4	6.8
14	4.8	5.2	5.2	5.6	6	5.6	6	6.4
14	4.4	5.6	5.2	5.2	5.6	5.6	5.6	6.4
13.6	4	5.2	4.8	4.8	5.2	5.2	5.2	6
12.8	3.2	5.2	4.8	4.8	4.4	4.8	4.8	5.2
11.6	2.8	4.8	4.4	4.4	4	4.4	4.4	4.8
10	2.8	4.8	4.4	4.4	4	4	4.4	4.4
8.8	2.8	4.4	4.4	4	4	4	4	4
7.6	2.8	4	4	4	4	4	4	4
6.8	2.8	4.4	4	4	3.6	4	4	3.6
6	2.8	4.4	4	4	3.6	4	4	3.6
5.6	2.8	4.8	4.4	4	3.6	4	4	3.2
5.6	2.8	5.2	4.8	4.4	4	4.4	4	3.2
6	2.8	5.2	4.8	4.4	4.4	4.8	4.4	3.2
6.4	3.2	5.2	5.2	4.8	4.8	5.2	4.8	4
7.2	3.6	4.8	5.2	5.2	4.8	5.2	4.8	4.4
8.4	4	4.8	5.2	5.6	5.2	5.2	5.2	4.8
8.8	4.4	4.8	5.2	6	5.6	5.2	5.6	4.8
9.6	5.2	4.8	5.6	6.4	6.8	5.6	6.4	5.2
10.8	5.2	4.8	5.6	6.8	7.6	5.6	7.2	6
12.8	5.2	4.8	5.6	6.4	7.6	5.6	7.6	6.8
14	5.2	4.8	5.6	6.4	7.2	5.6	7.2	7.2
14.8	5.2	5.2	5.6	6	6.8	5.6	7.2	7.2
14.8	4.8	5.6	5.6	5.6	6.4	5.6	6.8	6.8
14.4	4.4	6	5.6	5.6	6	5.6	6.4	6.4
13.6	4	5.6	5.2	5.2	5.6	5.2	6	6
12.8	3.6	5.6	4.8	4.8	5.2	4.8	5.6	5.6
12	3.2	5.2	4.8	4.8	4.8	4.4	5.2	5.2
11.2	3.2	4.8	4.8	4.8	4.4	4.4	4.8	4.8
10	2.8	4.8	4.8	4.4	4	4.4	4.4	4.4
8.8	2.8	4.8	4.4	4.4	4	4.4	4.4	4
7.6	2.8	4.8	4.4	4	4	4.4	4.4	4
6.8	2.8	4.8	4.4	4	4	4.4	4.4	4
6.4	2.8	4.8	4.4	4	4	4.4	4	4
6	2.8	5.2	4.8	4.4	4	4.8	4	3.6
6	2.8	5.6	5.2	4.8	4.4	4.8	4.4	3.6
6.4	3.2	5.6	5.6	5.2	4.8	5.2	4.8	3.6
6.8	3.6	5.6	5.6	5.2	5.2	5.2	5.2	4
8	4	5.6	5.6	5.6	5.6	5.2	5.6	4.8
9.2	4.4	5.2	5.6	6	6	5.2	6	5.2
10.4	4.8	4.8	5.6	6.8	6.8	5.6	6	5.6
11.2	5.2	4.8	5.6	7.2	7.6	5.6	6.8	6.4
